小区名字,总价（万元）,单价（元/平方）,建筑面积（m2）,套内面积（m2）,上架时间,上次交易时间,地区,
钱塘春晓,1100,41290,266.41,219.75,2018/6/16,2013/5/15,滨江,滨江区政府
金成花园,480,36153,132.77,119.99,2018/3/10,2013/6/7,西湖,文一西路
阮家居,275,37339,73.65,55.17,2018/5/19,2016/8/6,拱墅,申花
小河下小区,270,44614,60.52,54.98,2018/6/16,2001/1/3,上城,潮鸣
山水人家香溪地,585,40384,144.86,120,2017/9/28,2008/1/26,西湖,文三西路
世茂江滨花园瑞景湾,360,26862,134.02,101.46,2018/7/16,2011/4/22,下沙,沿江南
广宇上东名筑,245,29300,83.62,暂无数,2018/8/26,2013/8/1,江干,丁桥
水陆寺巷,250,46058,54.28,暂无数,2018/6/1,2005/10/25,下城,长庆
铭和苑新荷坊,220,26507,83,64.29,2018/8/20,2010/6/21,下沙,金沙湖
美政花苑,263,43464,60.51,暂无数,2018/5/10,2011/11/29,上城,复兴
春天花园,600,41147,145.82,128,2017/11/28,2005/3/10,西湖,文一西路
景芳新五区,250,46782,53.44,暂无数,2018/8/6,2008/7/10,江干,景芳
体育场路71-176号,310,45131,68.69,暂无数,2018/9/9,2000/8/9,下城,体育场路
闲林山水紫薇苑,238,26691,89.17,暂无数,2018/4/15,2010/8/17,余杭,闲林
风雅乐府,295,33493,88.08,暂无数,2018/5/6,2013/6/25,余杭,万达广场
仓基新村,210,40046,52.44,暂无数,2018/6/28,2013/6/22,拱墅,信义坊
良渚文化村探梅里B,280,31461,89,暂无数,2018/7/11,2015/8/6,余杭,良渚
杭钢南苑,160,27188,58.85,暂无数,2018/7/15,2007/8/31,拱墅,半山
复兴南苑,228,47196,48.31,40.73,2018/7/22,2015/3/10,上城,复兴
亲亲家园一期,300,32089,93.49,90,2018/8/18,2009/8/26,余杭,三墩
杭钢北苑,150,25364,59.14,暂无数,2018/8/21,1999/6/9,拱墅,半山
天城府,340,39623,85.81,暂无数,2018/8/23,2018/4/4,江干,火车东站
嘉绿福苑,325,44068,73.75,56.97,2018/6/7,2014/2/28,西湖,嘉绿
美政花苑,390,48298,80.75,暂无数,2018/7/22,2000/9/19,上城,复兴
景芳新五区,225,41044,54.82,暂无数,2018/8/17,2001/12/12,江干,景芳
古荡新村西区,210,41137,51.05,46.91,2018/7/28,2009/5/23,西湖,古荡
圆梦园,500,30036,166.47,暂无数,2016/9/20,2009/5/6,江干,九堡
港湾家园,620,51879,119.51,101.46,2016/11/19,2011/6/17,西湖,申花
物华小区,430,31686,135.71,暂无数,2017/11/27,2003/9/3,西湖,嘉绿
左家新村,251,41420,60.6,55,2018/6/20,2007/9/5,拱墅,湖墅
锦昌文华苑,620,54064,114.68,暂无数,2018/9/17,2007/6/21,拱墅,拱宸桥
朗郡庭园,600,28572,210,暂无数,2017/6/10,2015/11/10,西湖,转塘
金地自在城,290,36529,79.39,63.78,2017/9/17,2013/6/20,西湖,三墩
嘉绿北苑,352,49286,71.42,65.99,2017/10/3,2007/5/9,西湖,嘉绿
闲林山水紫薇苑,300,22223,135,114.9,2018/3/14,2010/5/20,余杭,闲林
芳满庭,410,46365,88.43,63.24,2018/3/25,2010/7/15,拱墅,申花
复兴南苑,276,46481,59.38,50.7,2018/4/1,2010/9/17,上城,复兴
亿丰蔚蓝郡,345,26222,131.57,103.55,2018/4/7,2012/6/28,余杭,良渚
西铭苑,475,40914,116.1,91.98,2018/4/18,2010/5/24,拱墅,申花
凤凰南苑,374,45935,81.42,暂无数,2018/5/4,2011/2/14,上城,南星
紫金公寓,390,39534,98.65,暂无数,2018/5/11,2008/10/28,西湖,文三西路
溪畔花园,315,62525,50.38,45.49,2018/5/29,2010/9/6,西湖,文教
叶青随苑,310,43491,71.28,暂无数,2018/5/31,2012/9/4,拱墅,湖墅
采荷小区洁莲邨,285,53123,53.65,49.37,2018/6/3,1995/6/15,江干,采荷
复兴南苑,278,43195,64.36,暂无数,2018/6/7,2016/4/26,上城,复兴
南都德迦东区,730,44946,162.42,暂无数,2018/6/7,2005/3/18,西湖,文三西路
翠苑四区,205,39257,52.22,暂无数,2018/6/11,2009/6/1,西湖,翠苑
钱塘景苑,630,36735,171.5,143.33,2018/6/11,2008/4/15,滨江,彩虹城
景芳三区,267,44942,59.41,暂无数,2018/6/14,2009/3/20,江干,景芳
南都花园一区,360,47238,76.21,暂无数,2018/6/24,2000/6/22,西湖,文一西路
凤凰南苑,400,49481,80.84,暂无数,2018/6/29,2008/9/17,上城,南星
良渚文化村白鹭郡南,256,29426,87,76.36,2018/7/2,2011/4/25,余杭,良渚
多蓝水岸银沙苑,290,24527,118.24,暂无数,2018/7/8,2012/8/17,下沙,沿江北
通惠丽港,295,22380,131.82,暂无数,2018/9/10,2005/6/8,萧山,萧山新城区
保利湾天地二期,170,15070,112.81,暂无数,2018/6/10,2014/5/19,下沙,沿江南
奥兰多小镇,285,34538,82.52,70.53,2018/4/10,2010/6/7,萧山,湘湖
南都德迦东区,630,44558,141.39,暂无数,2018/5/20,2001/7/5,西湖,文三西路
太阳国际公寓,688,53583,128.4,104.16,2018/9/10,2006/9/26,滨江,彩虹城
复兴北苑,345,49470,69.74,暂无数,2018/5/6,2002/1/21,上城,复兴
浅水湾城市花园,225,41406,54.34,暂无数,2018/5/10,2005/10/4,拱墅,湖墅
云溪香山,430,31101,138.26,暂无数,2018/9/7,2008/12/31,西湖,转塘
华元十六街区,105,23810,44.1,33.25,2018/4/25,2007/3/14,下沙,高教园区西
中天西城纪,142,32757,43.35,暂无数,2018/7/12,2017/1/11,拱墅,申花
圣都公寓,590,32932,179.16,179.16,2018/6/26,2001/6/1,拱墅,湖墅
保利城市果岭,385,27917,137.91,104.78,2018/6/28,2016/1/6,下沙,大学城北
风雅乐府,430,32033,134.24,86.59,2018/7/21,2013/9/4,余杭,万达广场
复地连城国际,320,24644,129.85,105.24,2018/8/25,2010/5/10,余杭,乔司
钱塘春晓,725,44781,161.9,131.89,2018/3/15,2009/6/22,滨江,滨江区政府
金秋花园,245,43195,56.72,暂无数,2018/7/4,2003/5/10,江干,华家池
康都紫轩,850,61787,137.57,暂无数,2017/3/24,2012/6/7,上城,南星
康乐香港城,320,43657,73.3,1,2018/4/26,2001/12/28,西湖,文三西路
世茂江滨花园瑞景湾,530,20464,259,218.35,2018/5/8,2013/1/6,下沙,沿江南
盛世嘉园,310,25676,120.74,108.81,2018/8/19,2010/1/12,余杭,闲林
木庵小区,245,48134,50.9,暂无数,2018/8/26,1996/12/12,下城,体育场路
久睦苑,175,27778,63,62.02,2018/9/4,2011/9/8,江干,丁桥
北城枫景园,183,29723,61.57,暂无数,2018/9/5,2011/5/15,江干,丁桥
湖墅新村,275,40388,68.09,暂无数,2018/9/7,2005/9/10,拱墅,信义坊
万家星城,430,48517,88.63,71.07,2018/9/8,2012/5/16,下城,三塘
万家星城,430,50024,85.96,67.1,2018/9/10,2012/5/16,下城,三塘
